127.0.0.1 - - [25/Jul/2024:14:22:02 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [25/Jul/2024:14:22:03 +0530] "GET /eDhanvantari/ HTTP/1.1" 200 7473
0:0:0:0:0:0:0:1 - - [25/Jul/2024:14:22:03 +0530] "GET /eDhanvantari/vendors/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2024:14:22:03 +0530] "GET /eDhanvantari/vendors/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2024:14:22:03 +0530] "GET /eDhanvantari/vendors/nprogress/nprogress.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2024:14:22:03 +0530] "GET /eDhanvantari/images/RGB%20Original.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2024:14:22:03 +0530] "GET /eDhanvantari/images/ed-banner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2024:14:22:03 +0530] "GET /eDhanvantari/build/css/custom.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2024:14:22:10 +0530] "GET /eDhanvantari/vendors/datatables.net-buttons-bs/css/buttons.bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2024:14:22:10 +0530] "GET /eDhanvantari/vendors/datatables.net-bs/css/dataTables.bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2024:14:22:10 +0530] "GET /eDhanvantari/vendors/datatables.net-fixedheader-bs/css/fixedHeader.bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2024:14:22:10 +0530] "GET /eDhanvantari/vendors/datatables.net-responsive-bs/css/responsive.bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2024:14:22:10 +0530] "GET /eDhanvantari/vendors/datatables.net-scroller-bs/css/scroller.bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2024:14:22:10 +0530] "GET /eDhanvantari/build/css/bootstrap-datetimepicker.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2024:14:22:10 +0530] "GET /eDhanvantari/build/css/fullcalendar.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2024:14:22:10 +0530] "GET /eDhanvantari/build/css/jquery-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2024:14:22:10 +0530] "GET /eDhanvantari/build/css/fullcalendar.print.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2024:14:22:10 +0530] "GET /eDhanvantari/images/Preloader_2.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2024:14:22:11 +0530] "GET /eDhanvantari/images/Text.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2024:14:22:11 +0530] "GET /eDhanvantari/images/Icon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2024:14:22:12 +0530] "GET /eDhanvantari/images/Clinic_Logo_27.jpg HTTP/1.1" 200 8079
0:0:0:0:0:0:0:1 - - [25/Jul/2024:14:22:12 +0530] "POST /eDhanvantari/Login HTTP/1.1" 200 212860
0:0:0:0:0:0:0:1 - - [25/Jul/2024:14:22:12 +0530] "GET /eDhanvantari/images/user.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2024:14:22:12 +0530] "GET /eDhanvantari/vendors/jquery/dist/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2024:14:22:12 +0530] "GET /eDhanvantari/vendors/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2024:14:22:12 +0530] "GET /eDhanvantari/build/js/moment.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2024:14:22:12 +0530] "GET /eDhanvantari/build/js/fullcalendar.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2024:14:22:12 +0530] "GET /eDhanvantari/vendors/datatables.net/js/jquery.dataTables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2024:14:22:12 +0530] "GET /eDhanvantari/vendors/datatables.net-bs/js/dataTables.bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2024:14:22:12 +0530] "GET /eDhanvantari/vendors/datatables.net-responsive/js/dataTables.responsive.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2024:14:22:12 +0530] "GET /eDhanvantari/vendors/datatables.net-responsive-bs/js/responsive.bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2024:14:22:12 +0530] "GET /eDhanvantari/build/js/bootstrap-datetimepicker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2024:14:22:12 +0530] "GET /eDhanvantari/build/js/jquery-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2024:14:22:12 +0530] "GET /eDhanvantari/build/js/custom.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2024:14:22:12 +0530] "GET /eDhanvantari/js/moment/moment.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2024:14:22:12 +0530] "GET /eDhanvantari/js/datepicker/daterangepicker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2024:14:22:12 +0530] "GET /eDhanvantari/vendors/bootstrap/dist/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2024:14:22:12 +0530] "GET /eDhanvantari/vendors/font-awesome/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2024:14:22:12 +0530] "GET /eDhanvantari/build/css/images/ui-bg_flat_75_ffffff_40x100.png HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [25/Jul/2024:14:22:12 +0530] "GET /eDhanvantari/GetClinicStartEndTime HTTP/1.1" 200 42
0:0:0:0:0:0:0:1 - - [25/Jul/2024:14:22:12 +0530] "GET /eDhanvantari/GetClinicBreak1Time HTTP/1.1" 200 42
0:0:0:0:0:0:0:1 - - [25/Jul/2024:14:22:12 +0530] "GET /eDhanvantari/GetClinicBreak2Time HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [25/Jul/2024:14:22:12 +0530] "GET /eDhanvantari/GetDaysOtherThanClinicWorkingDays HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [25/Jul/2024:14:22:12 +0530] "POST /eDhanvantari/ApptCalendarJSONServlet HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [25/Jul/2024:14:22:42 +0530] "POST /eDhanvantari/ApptCalendarJSONServlet HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [25/Jul/2024:14:23:12 +0530] "POST /eDhanvantari/ApptCalendarJSONServlet HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [25/Jul/2024:14:23:42 +0530] "POST /eDhanvantari/ApptCalendarJSONServlet HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [25/Jul/2024:14:24:04 +0530] "GET /eDhanvantari/images/Clinic_Logo_27.jpg HTTP/1.1" 200 8079
0:0:0:0:0:0:0:1 - - [25/Jul/2024:14:24:05 +0530] "GET /eDhanvantari/images/visit_view_1.png HTTP/1.1" 200 4954
0:0:0:0:0:0:0:1 - - [25/Jul/2024:14:24:05 +0530] "GET /eDhanvantari/images/delete_icon_1.png HTTP/1.1" 200 1632
0:0:0:0:0:0:0:1 - - [25/Jul/2024:14:24:05 +0530] "GET /eDhanvantari/images/patient_1.png HTTP/1.1" 200 4723
0:0:0:0:0:0:0:1 - - [25/Jul/2024:14:24:41 +0530] "GET /eDhanvantari/images/Clinic_Logo_27.jpg HTTP/1.1" 200 8079
0:0:0:0:0:0:0:1 - - [25/Jul/2024:14:24:44 +0530] "POST /eDhanvantari/SearchPatient HTTP/1.1" 200 6461606
0:0:0:0:0:0:0:1 - - [25/Jul/2024:14:25:14 +0530] "POST /eDhanvantari/SearchPatient HTTP/1.1" 200 8662544
0:0:0:0:0:0:0:1 - - [25/Jul/2024:14:25:48 +0530] "GET /eDhanvantari/GetClinicStartEndTime HTTP/1.1" 200 42
0:0:0:0:0:0:0:1 - - [25/Jul/2024:14:25:48 +0530] "GET /eDhanvantari/GetClinicBreak1Time HTTP/1.1" 200 42
0:0:0:0:0:0:0:1 - - [25/Jul/2024:14:25:48 +0530] "GET /eDhanvantari/GetClinicBreak2Time HTTP/1.1" 200 32
